Ticker,Company
ADM,Archer-Daniels-Midland Company
AEP,American Electric Power Company
ALL,Allstate Corporation (The)
ALLY,Ally Financial Inc.
ANF,Abercrombie & Fitch Company
ANGI,Angi Inc.
AOS,A.O. Smith Corporation
BA,Boeing Company (The)
BAX,Baxter International Inc.
BMI,"Badger Meter, Inc."
CARS,Cars.com Inc.
CAT,"Caterpillar, Inc."
CF,"CF Industries Holdings, Inc."
CME,CME Group Inc.
CMI,Cummins Inc.
CTS,CTS Corporation
DE,Deere & Company
DOW,Dow Inc.
DPZ,Domino's Pizza Inc
EXC,Exelon Corporation
F,Ford Motor Company
FIS,Fidelity National Information S
FITB,Fifth Third Bancorp
FSS,Federal Signal Corporation
FUN,Six Flags Entertainment Corpora
GLDD,Great Lakes Dredge & Dock Corpo
GM,General Motors Company
GT,The Goodyear Tire & Rubber Comp
H,Hyatt Hotels Corporation
HOG,"Harley-Davidson, Inc."
HURC,"Hurco Companies, Inc."
INGR,Ingredion Incorporated
ITW,Illinois Tool Works Inc.
JLL,Jones Lang LaSalle Incorporated
KELYA,"Kelly Services, Inc."
KR,Kroger Company (The)
KSS,Kohl's Corporation
LKFN,Lakeland Financial Corporation
LLY,Eli Lilly and Company
LZB,La-Z-Boy Incorporated
M,Macy's Inc
MAS,Masco Corporation
MCD,McDonald's Corporation
MOD,Modine Manufacturing Company
MPC,Marathon Petroleum Corporation
MRTN,"Marten Transport, Ltd."
MSI,"Motorola Solutions, Inc."
NI,NiSource Inc
NPK,"National Presto Industries, Inc"
NTRS,Northern Trust Corporation
OI,"O-I Glass, Inc."
OSK,Oshkosh Corporation (Holding Co
PAG,"Penske Automotive Group, Inc."
PATK,"Patrick Industries, Inc."
PG,Procter & Gamble Company (The)
PH,Parker-Hannifin Corporation
PHM,"PulteGroup, Inc."
PKG,Packaging Corporation of Americ
RAIL,"Freightcar America, Inc."
REX,REX American Resources Corporat
RKT,"Rocket Companies, Inc."
SCL,Stepan Company
SCVL,"Shoe Carnival, Inc."
SGA,"Saga Communications, Inc."
SJM,The J.M. Smucker Company
SKY,"Champion Homes, Inc."
SNA,Snap-On Incorporated
SPB,"Spectrum Brands Holdings, Inc."
SRCE,1st Source Corporation
SSP,E.W. Scripps Company (The)
SUI,"Sun Communities, Inc."
SYK,Stryker Corporation
TDC,Teradata Corporation
TDS,"Telephone and Data Systems, Inc"
THO,"Thor Industries, Inc."
TR,"Tootsie Roll Industries, Inc."
UAL,"United Airlines Holdings, Inc."
UFPI,"UFP Industries, Inc."
ULTA,"Ulta Beauty, Inc."
WEC,"WEC Energy Group, Inc."
WHR,Whirlpool Corporation
WNC,Wabash National Corporation
WWW,"Wolverine World Wide, Inc."
ZBH,"Zimmer Biomet Holdings, Inc."
ZEUS,"Olympic Steel, Inc."
